id;placed_date;status;code;customer_id
1;2020-11-22T05:44:39;COMPLETED;bricks-and-clicks Concrete Global;1
2;2020-11-22T01:16:14;PENDING;Equatorial Guinea Vision-oriented;2
3;2020-11-22T20:05:31;PENDING;cross-media;3
4;2020-11-22T04:54:14;PENDING;Unbranded Cheese Dynamic;4
5;2020-11-22T07:46:21;PENDING;Home Gloves Latvia;1
6;2020-11-22T05:43:16;CANCELLED;Networked;2
7;2020-11-22T14:31:01;PENDING;calculating withdrawal Nevada;3
8;2020-11-22T20:04:42;COMPLETED;Strategist target;4
9;2020-11-22T00:55:04;PENDING;Cambridgeshire white sensor;1
10;2020-11-22T15:35:17;COMPLETED;Applications Response Human;1
