id;tracking_code;date;details;invoice_id
1;Borders Borders Practical;2020-11-22T20:07:33;Money Market Account;1
2;Danish Krone parse;2020-11-22T03:19:44;back-end Unbranded Cambridgeshire;2
3;Designer;2020-11-22T20:59:09;circuit Guam;3
4;Frozen Metal program;2020-11-22T07:29:22;Refined Practical Algerian Dinar;4
5;revolutionize;2020-11-22T00:55:17;Steel Avon Visionary;5
6;exploit transition;2020-11-22T02:49:11;Interactions;6
7;Pennsylvania dynamic bandwidth;2020-11-22T10:46:00;mesh system Triple-buffered;7
8;Cotton;2020-11-22T10:30:14;Tools;8
9;Arizona hack;2020-11-22T03:54:51;quantifying;9
10;synthesize Idaho Markets;2020-11-22T13:19:47;asymmetric EXE;10
